segment_id,source_id,start_time,end_time,segment_type,speaker_name,speaker_role,transcript_ref,face_expected,visual_usability_label,audio_usability_label,labeling_status,notes
msft_fy26_q2_seg01,msft_fy26_q2_example,,,prepared_remarks,Unknown management speaker,management,planned: transcript span for outlook and fiscal guide,true,,,pending_collection,Planned prepared-remarks extraction target.
msft_fy26_q2_seg02,msft_fy26_q2_example,,,q_and_a_answer,Unknown management speaker,management,planned: first management answer on demand or guidance,true,,,pending_collection,Planned Q&A answer extraction target.
nvda_quarterly_results_seg01,nvda_quarterly_results_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks with AI/datacenter outlook,true,,,pending_collection,Planned prepared-remarks extraction target.
nvda_quarterly_results_seg02,nvda_quarterly_results_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer with forward-looking commentary,true,,,pending_collection,Planned Q&A answer extraction target.
bac_q4_2025_seg01,bac_q4_2025_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on credit and net interest income,true,,,pending_collection,Planned prepared-remarks extraction target.
bac_q4_2025_seg02,bac_q4_2025_example,,,q_and_a_question,Unknown analyst speaker,analyst,planned: analyst question on macro risk or consumer trends,true,,,pending_collection,Planned analyst-question extraction target.
bac_q4_2025_seg03,bac_q4_2025_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer to macro or reserve question,true,,,pending_collection,Planned management-answer extraction target.
dis_q1_fy26_seg01,dis_q1_fy26_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on parks; streaming; or guidance,true,,,pending_collection,Planned prepared-remarks extraction target.
dis_q1_fy26_seg02,dis_q1_fy26_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer during Q&A,true,,,pending_collection,Planned Q&A answer extraction target.
dis_q4_fy25_seg01,dis_q4_fy25_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on segment trends,true,,,pending_collection,Planned prepared-remarks extraction target.
dis_q4_fy25_seg02,dis_q4_fy25_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on parks or streaming,true,,,pending_collection,Planned Q&A answer extraction target.
hsbc_results_seg01,hsbc_results_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on capital and outlook,false,,,pending_collection,Slides-first or webcast-hub source; face may be absent.
hsbc_results_seg02,hsbc_results_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on rates or credit,false,,,pending_collection,Slides-first or webcast-hub source; face may be absent.
astrazeneca_results_seg01,astrazeneca_results_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on pipeline or revenue guidance,true,,,pending_collection,Planned prepared-remarks extraction target.
astrazeneca_results_seg02,astrazeneca_results_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on product outlook,true,,,pending_collection,Planned Q&A answer extraction target.
sbux_prepared_remarks_seg01,sbux_prepared_remarks_example,,,intro_or_safe_harbor,Unknown operator or host,operator,planned: intro and safe harbor,false,,,pending_collection,Prepared-remarks-only candidate may still include an intro block.
sbux_prepared_remarks_seg02,sbux_prepared_remarks_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on traffic; pricing; or restructuring,false,,,pending_collection,Prepared-remarks-only extraction target.
goog_q1_2025_seg01,goog_q1_2025_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on search; cloud; and capex,true,,,pending_collection,Planned prepared-remarks extraction target.
goog_q1_2025_seg02,goog_q1_2025_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on investment pace,true,,,pending_collection,Planned Q&A answer extraction target.
goog_q4_2025_seg01,goog_q4_2025_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on search; cloud; and margin,true,,,pending_collection,Planned prepared-remarks extraction target.
goog_q4_2025_seg02,goog_q4_2025_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on capex or AI monetization,true,,,pending_collection,Planned Q&A answer extraction target.
apple_q1_2025_seg01,apple_q1_2025_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on product and services trends,unknown,,,pending_collection,Audio-first candidate; video visibility may be absent.
apple_q1_2025_seg02,apple_q1_2025_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on demand or guidance,unknown,,,pending_collection,Audio-first candidate; video visibility may be absent.
amzn_q4_2024_seg01,amzn_q4_2024_example,,,prepared_remarks,Unknown management speaker,management,planned: prepared remarks on AWS and retail margin,unknown,,,pending_collection,Audio-first candidate; video visibility may be absent.
amzn_q4_2024_seg02,amzn_q4_2024_example,,,q_and_a_answer,Unknown management speaker,management,planned: management answer on capacity or outlook,unknown,,,pending_collection,Audio-first candidate; video visibility may be absent.
